Region,Date,Actual,Predicted,Delta
NorthCentral,1/20/2016,321564.73,314747.24,2.12%
South,1/20/2016,63057.00,64398.52,2.13%
SouthCentral,1/20/2016,135974.36,136841.09,0.64%
Totals,1/20/2016,887907.71,879891.52,0.90%
West,1/20/2016,27676.63,26703.89,3.51%
Coast,1/21/2016,240868.04,235280.86,2.32%
East,1/21/2016,31755.17,31165.22,1.86%
FarWest,1/21/2016,51919.37,50314.78,3.09%
North,1/21/2016,21862.59,20936.14,4.24%
NorthCentral,1/21/2016,327279.47,305039.83,6.80%
South,1/21/2016,62999.38,63227.02,0.36%
SouthCentral,1/21/2016,131539.17,131878.79,0.26%
Totals,1/21/2016,895086.43,864082.13,3.46%
West,1/21/2016,26863.23,26239.50,2.32%
Coast,1/22/2016,273503.66,254626.91,6.90%
East,1/22/2016,36343.53,35172.31,3.22%
FarWest,1/22/2016,51798.22,51060.07,1.43%
North,1/22/2016,22394.18,21462.78,4.16%
NorthCentral,1/22/2016,350666.97,337191.89,3.84%
South,1/22/2016,66461.71,69006.80,3.83%
SouthCentral,1/22/2016,152223.24,150402.94,1.20%
Totals,1/22/2016,982107.72,947425.68,3.53%
West,1/22/2016,28716.20,28501.96,0.75%
Coast,1/23/2016,261924.82,251466.40,3.99%
East,1/23/2016,34764.59,33397.30,3.93%
FarWest,1/23/2016,49890.74,49307.52,1.17%
North,1/23/2016,21050.38,21087.05,0.17%
NorthCentral,1/23/2016,329748.30,326129.15,1.10%
South,1/23/2016,72280.70,73316.61,1.43%
SouthCentral,1/23/2016,150628.57,147954.97,1.77%
Totals,1/23/2016,947937.67,929444.11,1.95%
West,1/23/2016,27649.55,26785.12,3.13%
Coast,1/24/2016,242784.74,237871.17,2.02%
East,1/24/2016,31257.36,29469.49,5.72%
FarWest,1/24/2016,47074.95,47781.44,1.50%
North,1/24/2016,19268.74,18604.07,3.45%
NorthCentral,1/24/2016,290620.23,280931.00,3.33%
South,1/24/2016,67268.03,67988.55,1.07%
SouthCentral,1/24/2016,137045.24,135634.55,1.03%
Totals,1/24/2016,859932.39,843029.11,1.97%
West,1/24/2016,24613.06,24748.84,0.55%
Coast,1/25/2016,236203.72,234483.32,0.73%
East,1/25/2016,27711.83,28050.74,1.22%
FarWest,1/25/2016,48037.74,48920.60,1.84%
North,1/25/2016,17965.55,17788.39,0.99%
NorthCentral,1/25/2016,259154.42,255142.80,1.55%
South,1/25/2016,62721.47,63895.86,1.87%
SouthCentral,1/25/2016,125483.67,125963.95,0.38%
Totals,1/25/2016,801302.61,799153.34,0.27%
West,1/25/2016,24024.13,24907.66,3.68%
Coast,1/26/2016,241881.59,238691.91,1.32%
East,1/26/2016,31758.03,31942.60,0.58%
FarWest,1/26/2016,52313.83,51581.48,1.40%
North,1/26/2016,20706.42,20184.59,2.52%
NorthCentral,1/26/2016,309422.81,306104.61,1.07%
South,1/26/2016,66452.89,66298.67,0.23%
SouthCentral,1/26/2016,145650.28,142173.64,2.39%
Totals,1/26/2016,897240.02,884661.55,1.40%
West,1/26/2016,29054.15,27684.06,4.72%
Coast,1/27/2016,258879.65,248330.20,4.08%
East,1/27/2016,34661.14,34070.93,1.70%
FarWest,1/27/2016,51612.66,51192.46,0.81%
North,1/27/2016,20769.85,20513.02,1.24%
NorthCentral,1/27/2016,316711.15,313378.33,1.05%
South,1/27/2016,82220.94,76421.48,7.05%
SouthCentral,1/27/2016,156035.01,150142.51,3.78%
Totals,1/27/2016,950225.50,922287.41,2.94%
West,1/27/2016,29335.13,28238.41,3.74%
Coast,1/28/2016,260912.10,252783.35,3.12%
East,1/28/2016,33347.98,33412.22,0.19%
FarWest,1/28/2016,51747.81,50434.93,2.54%
North,1/28/2016,19488.60,19049.33,2.25%
NorthCentral,1/28/2016,300124.44,294892.16,1.74%
South,1/28/2016,79654.95,74251.75,6.78%
SouthCentral,1/28/2016,145671.73,146865.39,0.82%
Totals,1/28/2016,918955.74,898868.76,2.19%
West,1/28/2016,28008.24,27179.56,2.96%
Coast,1/29/2016,246442.37,241148.55,2.15%
East,1/29/2016,29200.83,30537.02,4.58%
FarWest,1/29/2016,49445.65,49004.26,0.89%
North,1/29/2016,17938.42,17778.28,0.89%
NorthCentral,1/29/2016,269749.44,271180.38,0.53%
South,1/29/2016,69190.25,69909.37,1.04%
SouthCentral,1/29/2016,135886.73,136292.16,0.30%
Totals,1/29/2016,843085.84,841325.85,0.21%
West,1/29/2016,25232.11,25475.80,0.97%
Coast,1/30/2016,224560.46,222124.24,1.08%
East,1/30/2016,24419.24,25344.27,3.79%
FarWest,1/30/2016,47254.22,47486.43,0.49%
North,1/30/2016,16346.17,16814.96,2.87%
NorthCentral,1/30/2016,235655.75,242437.89,2.88%
South,1/30/2016,61330.33,63005.90,2.73%
SouthCentral,1/30/2016,121941.18,126244.52,3.53%
Totals,1/30/2016,754647.14,766713.22,1.60%
West,1/30/2016,23139.75,23255.01,0.50%
Coast,1/31/2016,218139.44,225844.52,3.53%
East,1/31/2016,23341.94,24254.98,3.91%
FarWest,1/31/2016,46154.85,47110.78,2.07%
North,1/31/2016,15640.41,16619.34,6.26%
NorthCentral,1/31/2016,224027.72,235737.81,5.23%
South,1/31/2016,60507.76,62944.94,4.03%
SouthCentral,1/31/2016,117640.05,117719.11,0.07%
Totals,1/31/2016,727184.67,753168.76,3.57%
West,1/31/2016,21732.53,22937.31,5.54%
Coast,2/1/2016,241710.19,237601.08,1.70%
East,2/1/2016,27929.33,28534.54,2.17%
FarWest,2/1/2016,48162.83,48841.43,1.41%
North,2/1/2016,17422.79,17914.68,2.82%
NorthCentral,2/1/2016,255610.17,260706.04,1.99%
South,2/1/2016,64838.99,66233.58,2.15%
SouthCentral,2/1/2016,124862.95,128937.94,3.26%
Totals,2/1/2016,804178.30,813400.82,1.15%
West,2/1/2016,23641.11,24631.54,4.19%
Coast,2/2/2016,232291.46,233241.60,0.41%
East,2/2/2016,27364.39,27884.73,1.90%
FarWest,2/2/2016,49954.06,50538.55,1.17%
North,2/2/2016,17542.95,18006.16,2.64%
NorthCentral,2/2/2016,251833.32,259698.96,3.12%
South,2/2/2016,61617.72,63338.19,2.79%
SouthCentral,2/2/2016,124062.79,127548.72,2.81%
Totals,2/2/2016,789793.26,805500.92,1.99%
West,2/2/2016,25126.59,25244.02,0.47%
Coast,2/3/2016,232340.93,238021.99,2.45%
East,2/3/2016,31403.87,33377.42,6.28%
FarWest,2/3/2016,51154.58,51432.83,0.54%
North,2/3/2016,20315.23,20826.99,2.52%
NorthCentral,2/3/2016,304133.27,315611.22,3.77%
South,2/3/2016,64490.89,66427.11,3.00%
SouthCentral,2/3/2016,140474.58,142928.08,1.75%
Totals,2/3/2016,872237.32,896616.08,2.79%
West,2/3/2016,27923.92,27990.44,0.24%
Coast,2/4/2016,248278.03,250712.72,0.98%
East,2/4/2016,35294.41,34652.51,1.82%
FarWest,2/4/2016,51713.03,51402.32,0.60%
North,2/4/2016,20886.72,20774.15,0.54%
NorthCentral,2/4/2016,318844.47,316925.86,0.60%
South,2/4/2016,72507.47,73043.81,0.74%
SouthCentral,2/4/2016,151474.59,150708.29,0.51%
Totals,2/4/2016,927456.26,926629.29,0.09%
West,2/4/2016,28457.44,28409.56,0.17%
Coast,2/5/2016,253283.18,250612.04,1.05%
East,2/5/2016,33500.49,33633.07,0.40%
FarWest,2/5/2016,51534.87,51170.14,0.71%
North,2/5/2016,20047.68,19708.82,1.69%
NorthCentral,2/5/2016,306827.50,302615.55,1.37%
South,2/5/2016,73736.19,71604.39,2.89%
SouthCentral,2/5/2016,150192.05,148040.53,1.43%
Totals,2/5/2016,917355.66,904722.81,1.38%
West,2/5/2016,28233.74,27338.25,3.17%
Coast,2/6/2016,232644.09,233288.55,0.28%
East,2/6/2016,30189.11,30588.29,1.32%
FarWest,2/6/2016,50133.78,50082.94,0.10%
North,2/6/2016,18599.72,18958.50,1.93%
NorthCentral,2/6/2016,291470.55,296120.55,1.60%
South,2/6/2016,65640.45,67636.65,3.04%
SouthCentral,2/6/2016,136646.41,137024.44,0.28%
Totals,2/6/2016,851827.55,860613.56,1.03%
West,2/6/2016,26503.37,26913.66,1.55%
Coast,2/7/2016,232702.74,237774.21,2.18%
East,2/7/2016,29869.64,30366.26,1.66%
FarWest,2/7/2016,48302.54,48507.74,0.42%
North,2/7/2016,18344.80,18880.52,2.92%
NorthCentral,2/7/2016,277427.56,285031.16,2.74%
South,2/7/2016,68470.75,69969.94,2.19%
SouthCentral,2/7/2016,141404.94,141949.39,0.39%
Totals,2/7/2016,842255.67,858547.07,1.93%
West,2/7/2016,25732.69,26067.85,1.30%
Coast,2/8/2016,247142.46,241947.64,2.10%
East,2/8/2016,33185.17,31898.00,3.88%
FarWest,2/8/2016,50421.33,50674.96,0.50%
North,2/8/2016,19175.12,19289.34,0.60%
NorthCentral,2/8/2016,298259.42,294042.36,1.41%
South,2/8/2016,67309.06,66963.26,0.51%
SouthCentral,2/8/2016,140837.64,135273.31,3.95%
Totals,2/8/2016,882899.71,866507.23,1.86%
West,2/8/2016,26569.49,26418.37,0.57%
Coast,2/9/2016,249750.35,247146.10,1.04%
East,2/9/2016,34002.81,32742.88,3.71%
FarWest,2/9/2016,50295.59,50372.04,0.15%
North,2/9/2016,19204.69,19358.27,0.80%
NorthCentral,2/9/2016,299785.01,295410.44,1.46%
South,2/9/2016,70252.86,70497.31,0.35%
SouthCentral,2/9/2016,141886.81,140869.28,0.72%
Totals,2/9/2016,892076.95,882737.42,1.05%
West,2/9/2016,26898.78,26341.10,2.07%
Coast,2/10/2016,240817.22,239818.88,0.41%
East,2/10/2016,31874.76,31354.78,1.63%
FarWest,2/10/2016,49042.59,49371.77,0.67%
North,2/10/2016,18611.94,18831.37,1.18%
NorthCentral,2/10/2016,283154.27,284016.10,0.30%
South,2/10/2016,67693.58,69533.18,2.72%
SouthCentral,2/10/2016,133744.08,134093.63,0.26%
Totals,2/10/2016,850313.63,852558.54,0.26%
West,2/10/2016,25375.16,25538.82,0.64%
Coast,2/11/2016,233797.05,236256.78,1.05%
East,2/11/2016,29015.34,28206.64,2.79%
FarWest,2/11/2016,47998.16,48442.49,0.93%
North,2/11/2016,17044.84,17239.23,1.14%
NorthCentral,2/11/2016,255496.49,255468.63,0.01%
South,2/11/2016,65135.61,67214.03,3.19%
SouthCentral,2/11/2016,130570.36,127019.06,2.72%
Totals,2/11/2016,802686.84,803822.18,0.14%
West,2/11/2016,23629.01,23975.37,1.47%
Coast,2/12/2016,234001.03,235589.26,0.68%
East,2/12/2016,26316.87,28446.74,8.09%
FarWest,2/12/2016,48474.39,49224.31,1.55%
North,2/12/2016,17145.38,17839.25,4.05%
NorthCentral,2/12/2016,251389.44,259222.18,3.12%
South,2/12/2016,63797.99,65875.88,3.26%
SouthCentral,2/12/2016,125783.21,129086.83,2.63%
Totals,2/12/2016,790989.75,809993.32,2.40%
West,2/12/2016,24081.46,24708.90,2.61%
Coast,2/13/2016,216273.41,219999.80,1.72%
East,2/13/2016,24854.02,26390.37,6.18%
FarWest,2/13/2016,47141.43,47798.99,1.39%
North,2/13/2016,17515.69,18178.45,3.78%
NorthCentral,2/13/2016,243821.49,255267.55,4.69%
South,2/13/2016,59980.02,61793.91,3.02%
SouthCentral,2/13/2016,116960.41,122895.35,5.07%
Totals,2/13/2016,748971.22,775684.86,3.57%
West,2/13/2016,22424.81,23360.39,4.17%
Coast,2/14/2016,215327.98,219591.18,1.98%
East,2/14/2016,23565.11,24407.68,3.58%
FarWest,2/14/2016,46475.26,47237.53,1.64%
North,2/14/2016,16249.26,16631.64,2.35%
NorthCentral,2/14/2016,225986.82,233480.51,3.32%
South,2/14/2016,59777.55,61802.43,3.39%
SouthCentral,2/14/2016,114155.82,118701.55,3.98%
Totals,2/14/2016,723062.09,744070.15,2.91%
West,2/14/2016,21524.39,22217.59,3.22%
Coast,2/15/2016,235439.76,235109.58,0.14%
East,2/15/2016,26828.94,27816.39,3.68%
FarWest,2/15/2016,47622.02,48744.83,2.36%
North,2/15/2016,16780.32,17267.64,2.90%
NorthCentral,2/15/2016,244315.28,252798.98,3.47%
South,2/15/2016,65626.20,66058.75,0.66%
SouthCentral,2/15/2016,122261.46,125497.57,2.65%
Totals,2/15/2016,782614.15,798016.76,1.97%
West,2/15/2016,23740.15,24723.05,4.14%
Coast,2/16/2016,236150.04,240066.98,1.66%
East,2/16/2016,28945.07,29320.18,1.30%
FarWest,2/16/2016,48078.78,48359.86,0.58%
North,2/16/2016,17160.62,17273.71,0.66%
NorthCentral,2/16/2016,253142.33,257181.81,1.60%
South,2/16/2016,66316.54,66750.55,0.65%
SouthCentral,2/16/2016,125403.51,130777.15,4.29%
Totals,2/16/2016,799378.27,814068.27,1.84%
West,2/16/2016,24181.31,24338.05,0.65%
Coast,2/17/2016,231048.57,233671.94,1.14%
East,2/17/2016,28418.22,29022.70,2.13%
FarWest,2/17/2016,47905.02,48474.39,1.19%
North,2/17/2016,17759.07,17830.37,0.40%
NorthCentral,2/17/2016,257874.19,259818.18,0.75%
South,2/17/2016,66265.62,64810.18,2.20%
SouthCentral,2/17/2016,122608.93,127319.64,3.84%
Totals,2/17/2016,795677.80,805137.85,1.19%
West,2/17/2016,23798.18,24190.49,1.65%
Coast,2/18/2016,237499.01,236266.74,0.52%
East,2/18/2016,28989.84,28918.21,0.25%
FarWest,2/18/2016,47275.08,47668.38,0.83%
North,2/18/2016,17173.46,17078.25,0.55%
NorthCentral,2/18/2016,252725.82,253442.19,0.28%
South,2/18/2016,66149.93,66074.65,0.11%
SouthCentral,2/18/2016,126935.79,126742.12,0.15%
Totals,2/18/2016,799769.91,799334.56,0.05%
West,2/18/2016,23021.01,23143.93,0.53%
Coast,2/19/2016,243675.07,238002.27,2.33%
East,2/19/2016,26726.74,27668.12,3.52%
FarWest,2/19/2016,47837.89,47655.06,0.38%
North,2/19/2016,16503.32,16785.25,1.71%
NorthCentral,2/19/2016,247584.34,248599.95,0.41%
South,2/19/2016,66831.64,66662.20,0.25%
SouthCentral,2/19/2016,128967.59,125887.15,2.39%
Totals,2/19/2016,801067.42,794033.80,0.88%
West,2/19/2016,22940.85,22773.79,0.73%
Coast,2/20/2016,229323.17,225164.45,1.81%
East,2/20/2016,23877.42,24109.58,0.97%
FarWest,2/20/2016,47257.80,46918.55,0.72%
North,2/20/2016,15841.76,16239.58,2.51%
NorthCentral,2/20/2016,235239.94,235881.52,0.27%
South,2/20/2016,65597.43,65534.04,0.10%
SouthCentral,2/20/2016,122890.74,118929.26,3.22%
Totals,2/20/2016,761805.18,754274.48,0.99%
West,2/20/2016,21776.85,21497.48,1.28%
Coast,2/21/2016,222533.75,222758.81,0.10%
East,2/21/2016,23514.28,24216.54,2.99%
FarWest,2/21/2016,45942.49,46972.75,2.24%
North,2/21/2016,15139.00,16216.65,7.12%
NorthCentral,2/21/2016,226471.15,234010.85,3.33%
South,2/21/2016,64684.28,64725.40,0.06%
SouthCentral,2/21/2016,118356.62,118250.92,0.09%
Totals,2/21/2016,737926.89,748845.18,1.48%
West,2/21/2016,21285.31,21693.28,1.92%
Coast,2/22/2016,227208.26,231569.10,1.92%
East,2/22/2016,27333.50,28300.70,3.54%
FarWest,2/22/2016,47001.57,47943.10,2.00%
North,2/22/2016,16605.08,17245.94,3.86%
NorthCentral,2/22/2016,245447.39,254339.24,3.62%
South,2/22/2016,67368.97,66400.27,1.44%
SouthCentral,2/22/2016,122789.30,125867.48,2.51%
Totals,2/22/2016,776620.23,795141.07,2.38%
West,2/22/2016,22866.24,23475.29,2.66%
Coast,2/23/2016,224815.75,231954.44,3.18%
East,2/23/2016,30360.03,30452.20,0.30%
FarWest,2/23/2016,50429.99,50736.95,0.61%
North,2/23/2016,19314.14,19513.27,1.03%
NorthCentral,2/23/2016,288307.45,288394.15,0.03%
South,2/23/2016,66984.32,65404.76,2.36%
SouthCentral,2/23/2016,124820.84,131047.90,4.99%
Totals,2/23/2016,831073.98,844041.37,1.56%
West,2/23/2016,26041.45,26537.75,1.91%
Coast,2/24/2016,233457.30,238387.19,2.11%
East,2/24/2016,31990.17,32043.15,0.17%
FarWest,2/24/2016,50036.05,50349.83,0.63%
North,2/24/2016,19101.65,18776.61,1.70%
NorthCentral,2/24/2016,291409.26,288503.06,1.00%
South,2/24/2016,63720.05,67191.29,5.45%
SouthCentral,2/24/2016,136125.83,139109.01,2.19%
Totals,2/24/2016,852008.24,861191.62,1.08%
West,2/24/2016,26167.88,26831.42,2.54%
Coast,2/25/2016,235173.93,239925.92,2.02%
East,2/25/2016,31589.27,31831.57,0.77%
FarWest,2/25/2016,49333.94,50039.28,1.43%
North,2/25/2016,18800.45,19081.63,1.50%
NorthCentral,2/25/2016,282103.78,287485.17,1.91%
South,2/25/2016,65431.42,68976.65,5.42%
SouthCentral,2/25/2016,136417.11,140068.54,2.68%
Totals,2/25/2016,844613.44,863807.84,2.27%
West,2/25/2016,25763.48,26399.02,2.47%
Coast,2/26/2016,230151.23,238235.10,3.51%
East,2/26/2016,30087.65,32423.08,7.76%
FarWest,2/26/2016,49045.06,49818.48,1.58%
North,2/26/2016,18898.49,19171.44,1.44%
NorthCentral,2/26/2016,283247.40,291307.61,2.85%
South,2/26/2016,61923.99,65614.92,5.96%
SouthCentral,2/26/2016,131956.04,139284.76,5.55%
Totals,2/26/2016,830473.77,861865.70,3.78%
West,2/26/2016,25163.91,26010.26,3.36%
Coast,2/27/2016,218840.02,226046.52,3.29%
East,2/27/2016,28552.04,27930.93,2.18%
FarWest,2/27/2016,47212.89,47827.40,1.30%
North,2/27/2016,16673.69,17248.24,3.45%
NorthCentral,2/27/2016,246674.31,250467.93,1.54%
South,2/27/2016,58556.13,61991.15,5.87%
SouthCentral,2/27/2016,122839.52,127561.29,3.84%
Totals,2/27/2016,763596.62,782704.29,2.50%
West,2/27/2016,24247.99,23630.86,2.55%
Coast,2/28/2016,212630.20,219442.61,3.20%
East,2/28/2016,26374.18,25237.11,4.31%
FarWest,2/28/2016,45635.13,46760.51,2.47%
North,2/28/2016,15927.65,16326.42,2.50%
NorthCentral,2/28/2016,226510.03,234122.88,3.36%
South,2/28/2016,59479.94,62508.57,5.09%
SouthCentral,2/28/2016,116139.81,118588.85,2.11%
Totals,2/28/2016,724536.04,744863.38,2.81%
West,2/28/2016,21839.10,21876.40,0.17%
Coast,2/29/2016,234081.49,235062.99,0.42%
East,2/29/2016,28083.30,27570.72,1.83%
FarWest,2/29/2016,46755.74,47998.27,2.66%
North,2/29/2016,16467.97,17087.74,3.76%
NorthCentral,2/29/2016,246018.42,250432.44,1.79%
South,2/29/2016,65827.30,66283.09,0.69%
SouthCentral,2/29/2016,126226.15,125427.22,0.63%
Totals,2/29/2016,787481.46,793352.07,0.75%
West,2/29/2016,24021.13,23489.62,2.21%
Coast,3/1/2016,235239.95,236607.12,0.58%
East,3/1/2016,27591.10,27484.11,0.39%
FarWest,3/1/2016,46160.16,48159.04,4.33%
North,3/1/2016,16340.46,17073.48,4.49%
NorthCentral,3/1/2016,244526.99,248979.76,1.82%
South,3/1/2016,70154.18,66938.32,4.58%
SouthCentral,3/1/2016,128754.42,124074.06,3.64%
Totals,3/1/2016,791320.70,792272.63,0.12%
West,3/1/2016,22553.38,22956.85,1.79%
Coast,3/2/2016,226382.88,234390.07,3.54%
East,3/2/2016,27516.81,29079.34,5.68%
FarWest,3/2/2016,47536.54,48188.54,1.37%
North,3/2/2016,17370.45,17406.66,0.21%
NorthCentral,3/2/2016,254225.12,258126.75,1.53%
South,3/2/2016,68452.26,66924.85,2.23%
SouthCentral,3/2/2016,124887.73,129050.92,3.33%
Totals,3/2/2016,789977.35,807082.64,2.17%
West,3/2/2016,23605.60,23915.58,1.31%
Coast,3/3/2016,240841.12,237541.48,1.37%
East,3/3/2016,27132.17,27244.34,0.41%
FarWest,3/3/2016,46574.44,48125.95,3.33%
North,3/3/2016,16502.93,17167.74,4.03%
NorthCentral,3/3/2016,244887.60,249260.01,1.79%
South,3/3/2016,73830.33,67283.47,8.87%
SouthCentral,3/3/2016,132468.09,122752.07,7.33%
Totals,3/3/2016,804955.87,792312.06,1.57%
West,3/3/2016,22719.12,22936.95,0.96%
Coast,3/4/2016,226248.05,235455.59,4.07%
East,3/4/2016,27892.37,28974.94,3.88%
FarWest,3/4/2016,47145.25,48348.00,2.55%
North,3/4/2016,16795.37,17495.60,4.17%
NorthCentral,3/4/2016,245910.96,260143.89,5.79%
South,3/4/2016,66326.39,65014.88,1.98%
SouthCentral,3/4/2016,122222.99,127464.54,4.29%
Totals,3/4/2016,775287.90,806796.43,4.06%
West,3/4/2016,22746.56,23899.02,5.07%
Coast,3/5/2016,215632.88,219970.55,2.01%
East,3/5/2016,26125.27,25668.86,1.75%
FarWest,3/5/2016,45815.05,47410.13,3.48%
North,3/5/2016,15748.44,16634.89,5.63%
NorthCentral,3/5/2016,232112.62,239816.27,3.32%
South,3/5/2016,62999.56,63625.16,0.99%
SouthCentral,3/5/2016,119315.90,117687.15,1.37%
Totals,3/5/2016,740271.09,753096.40,1.73%
West,3/5/2016,22521.34,22283.35,1.06%
Coast,3/6/2016,216065.19,220370.08,1.99%
East,3/6/2016,25629.73,25025.41,2.36%
FarWest,3/6/2016,46063.61,47002.87,2.04%
North,3/6/2016,15169.86,16571.86,9.24%
NorthCentral,3/6/2016,221962.41,235550.29,6.12%
South,3/6/2016,63878.24,65015.92,1.78%
SouthCentral,3/6/2016,116927.39,119001.05,1.77%
Totals,3/6/2016,727080.06,750470.75,3.22%
West,3/6/2016,21383.60,21933.28,2.57%
Coast,3/7/2016,237969.99,235192.08,1.17%
East,3/7/2016,28002.38,27822.19,0.64%
FarWest,3/7/2016,46815.81,47519.88,1.50%
North,3/7/2016,16130.33,16836.09,4.38%
NorthCentral,3/7/2016,242937.07,248242.90,2.18%
South,3/7/2016,70903.44,68161.31,3.87%
SouthCentral,3/7/2016,129011.65,126165.08,2.21%
Totals,3/7/2016,795574.83,793367.80,0.28%
West,3/7/2016,23804.14,23428.35,1.58%
Coast,3/8/2016,239609.43,237929.18,0.70%
East,3/8/2016,28733.88,27709.07,3.57%
FarWest,3/8/2016,46229.71,47718.05,3.22%
North,3/8/2016,16380.25,16878.81,3.04%
NorthCentral,3/8/2016,246331.26,250001.45,1.49%
South,3/8/2016,73595.76,68305.95,7.19%
SouthCentral,3/8/2016,138171.94,127708.83,7.57%
Totals,3/8/2016,812329.58,799485.02,1.58%
West,3/8/2016,23277.35,23233.68,0.19%
Coast,3/9/2016,234652.99,234664.25,0.00%
East,3/9/2016,26697.71,28236.52,5.76%
FarWest,3/9/2016,46296.62,48392.48,4.53%
North,3/9/2016,16561.58,16866.95,1.84%
NorthCentral,3/9/2016,246259.07,250754.96,1.83%
South,3/9/2016,62823.72,64815.80,3.17%
SouthCentral,3/9/2016,123552.93,127574.39,3.25%
Totals,3/9/2016,779644.05,795766.80,2.07%
West,3/9/2016,22799.37,24461.50,7.29%
Coast,3/10/2016,230130.75,234557.70,1.92%
East,3/10/2016,27102.36,27772.19,2.47%
FarWest,3/10/2016,46162.08,48442.28,4.94%
North,3/10/2016,16204.87,16861.05,4.05%
NorthCentral,3/10/2016,244290.19,250266.65,2.45%
South,3/10/2016,61649.41,64582.97,4.76%
SouthCentral,3/10/2016,126759.48,127347.09,0.46%
Totals,3/10/2016,775006.36,794821.48,2.56%
West,3/10/2016,22707.19,24991.60,10.06%
Coast,3/11/2016,233922.77,233170.61,0.32%
East,3/11/2016,27775.38,27511.27,0.95%
FarWest,3/11/2016,46729.38,48477.22,3.74%
North,3/11/2016,16174.35,17047.78,5.40%
NorthCentral,3/11/2016,242948.67,250960.21,3.30%
South,3/11/2016,59949.63,64703.31,7.93%
SouthCentral,3/11/2016,122173.03,125897.08,3.05%
